微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Mzm9Ejcpx,P2方案就是换成了呼声更高的原生5X，中焦光圈比之前大一丢丢，进光量更高，但变成了普通微距  ,,无,无,无,2023-03-28 14:02,无,3998,27,821
MzlHNsUvE,vivo X Fold2、X Flip、Pad2的配置都聊过了，大折叠是满血骁龙8G2+12GB+512GB，类似X90的左上角三摄圆形镜头模组，没有腰带隔断，内外屏打孔方案和前代一致，屏幕有护眼调光接口。发布会暂定4月中下旬  ,,无,无,无,2023-03-28 12:53,无,1959,17,401
Mzll6jSPA,卢总估计是要回应一下加加，这波就看新机能不能按着打了，晚上发布会关注下。另外SM7475本身就是基于前代旗舰芯SM8475下刀，打听了一下硬件成本并不低，所以新机的价格预期不要太低，到时候再看会不会有惊喜。  原图 ,,https://wx3.sinaimg.cn/large/006BlblIgy1hcffrnjv6wj30yk0es428.jpg,无,无,2023-03-28 11:57,无,5099,23,707
MzkYSbFkt,真我GT Neo5系列全面普及百瓦，realme在闪充上一直很激进，这次也给了行业独有的5500mAh+100W，快充续航两手抓，重量手感控制得也不错。  原图 ,,https://wx2.sinaimg.cn/large/006BlblIgy1hcfe6lp0lfj318g0pw434.jpg,无,无,2023-03-28 11:02,无,2827,24,513
MzkLCmrPk,魅族20系列的真机也泄露了，中杯FHD+144Hz国产柔性直屏和大杯QHD+120Hz E6柔性直屏的下巴控制差不多，都比三边粗一点。骁龙8G2+12GB+512GB，50Mp+16+5/50Mp+50+50  ,,无,无,无,2023-03-28 10:30,无,4974,33,895
MzkE0ttqr,发哥中端芯又要更新了，台积电N4P跟不要钱似的，然后天玑7020和天玑8020也都是给轻薄向新机准备的。接下来一个极窄曲屏+后置大圆镜头模组的机子也有点意思，高端设计大众化  ,,无,无,无,2023-03-28 10:11,无,2540,17,371
Mzk8k74Uc,分享图片  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1hcfaddtvw5j31jk140goj.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hcf9kdlb67j31jk1400vn.jpg",无,无,2023-03-28 08:53,无,2805,15,699
MzfuSEsfL,2K高频调光国产柔性屏的价格也打下来了，会有部分中端定位的迭代机子切过去，同价位确定不止红米了  ,,无,无,无,2023-03-27 21:05,无,4958,24,634
MzeemqFpF,早  ,,无,无,无,2023-03-27 17:51,无,2905,8,521
MzdqAkGSa,"没想到吧，上半年主流影像旗舰长焦底最大的是蓝绿，一个OV64B 1/2""，一个IMX890 1/1.56""。其它几家或原生或裁切，实际底基本都是1/2.5""±……  ",,无,无,无,2023-03-27 15:49,无,4500,24,613
MzcYvdXro,今年realme的240W被央视频繁报道，这个技术还真是获得市场多个层面认可，9分钟充满100%，速度遥遥领先realme真我手机的微博视频  ,,无,无,无,2023-03-27 14:40,微博视频号,3393,32,405
MzbTC0ci8,Redmi Note12 Turbo可以猜猜定价了：1920Hz PWM 12Bit高频调光柔性直屏，无塑料支架有塑料中框，首发第二代骁龙7+，顶配16GB+1TB，5000mAh+67W，64Mp OIS三摄，立体声双扬+X轴马达+3.5mm耳机孔+红外+NFC+侧边实体指纹……  ,,无,无,无,2023-03-27 11:55,无,8954,48,1714
MzbpwzFCg,欧加系的超百瓦配合新材料高密度电池还能加大容量，明年可能会看到类似150W±+5500mAh±的新方案，当然300W级这种极高功率方案也有落地计划。  ,,无,无,无,2023-03-27 10:41,无,4083,29,605
