微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
N7d5PAgNY,台积电N4P双平台旗舰全线120W/100W超级快充，搭配5000mAh±大电池，应该够用吧  ,,无,无,无,2023-06-27 10:13,无,3075,22,367
N7cyW6deY,天玑奇迹的国际版有徕卡，真有意思  ,,无,无,无,2023-06-27 08:52,无,3899,21,521
N77ACcj8X,国内骁龙8G3迭代旗舰还是只有小米做相对小尺寸的直屏机，而且屏幕观感和影像系统都做了大升级，竞品还是一堆常规尺寸的1.5K/2K极窄曲/直屏机子  ,,无,无,无,2023-06-26 20:13,无,4936,48,1092
N764Txhox,50Mp+50Mp+64Mp50Mp+8Mp+64Mp50Mp+50Mp+32Mp欧加系几个新物料组合，主摄有普通大底和更大底，还看到一个50Mp潜望长焦新型号，等确定组合再来说。  ,,无,无,无,2023-06-26 16:22,无,2337,23,372
N75qk39Pz,iQOO11S最终选择了3.2GHz 骁龙8G2搭配鸡血调度，没有用3.36Hz高频版。子系旗舰处理器选型差不多啦，有些辅以独显补帧芯片，有些安排24GB超大内存，有些怒怼超超超大VC散热面积  ,,无,无,无,2023-06-26 14:42,无,4241,22,731
N74wA35w1,今年Q2国产屏份额首次超越三星，其中京东方25.5%+天马9.4%+华星7.8%+维信诺7.5%＝50.2%。这算是一个新拐点，预计此后近两年国产屏份额还会稳步上升，因为各家明年中端机已经要普及下放1.5K/2K国产屏，正面观感都很绝那种  ,,无,无,无,2023-06-26 12:25,无,4844,73,884
N741G3L9z,iQOO11S终于来了，核心配置之前都聊过不赘述，差异化优势是200W超级闪充+2K E6柔性直屏+金属中框，钱塘听潮新配色是素皮。V2 ISP变成iQOO超算独显芯片+IMX866VCS，f/1.88-2.46 16mm-50mm。  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hfbfl2ok32j30u00qswk8.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hfbfl2z62cj30u00mu43k.jpg",无,无,2023-06-26 11:08,无,4281,22,621
N73EsEKVM,24GB LPDDR5X内存真我也会安排，欧加开始致力于普及大内存，貌似他们后面旗舰线新机已经准备标配16GB，顶配上探到了24GB，ColorOS后台留存率飙升  ,,无,无,无,2023-06-26 10:11,无,5485,38,1106
N73djvg6t,"下半年Note迭代新机，6.7""左右居中单孔直屏设计，无塑料支架的极窄柔性OLED，下放了旗舰级四窄边设计，观感有点以下犯上。同样年底旗舰的2K直屏也很顶~  ",,无,无,无,2023-06-26 09:04,无,2813,24,553
N6Xjn5pJF,努比亚旗舰新机也在路上了，处理器也是性能拉满的骁龙8 Gen2高频版，35mm黄金焦段镜头也将做大升级，可以期待一下  ,,无,无,无,2023-06-25 18:03,无,2671,33,560
N6Wsd9bes,X90超大杯用户安心等OTA，Demo X调优正式版就是X90S那套色彩很毒的质感算法。这个五五开旗舰从去年底战到今年底，还真就不落下风[老师好]  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1hfaids6t5nj32dc2stb2a.jpg,无,无,2023-06-25 15:52,无,4039,43,724
N6VNTDm7u,红米中高端系列新机的低配版要回归到双摄方案，大底双摄干掉一个凑数镜头，Deco清爽多了  ,,无,无,无,2023-06-25 14:13,无,4773,34,736
N6V0d4Uuh,"荣耀X50主要就是普及1.5K柔性曲屏+HM6 1/1.67""一亿像素大底主摄，这两个规格在千元机阵营还是比较诱人的，特别是屏幕终于告别了1080p，卷起来了  原图 ",,https://wx2.sinaimg.cn/large/006BlblIly1hfabbn5cq5j313z0kvdnd.jpg,无,无,2023-06-25 12:10,无,2391,16,463
N6UBN3hqJ,早  ,,无,无,无,2023-06-25 11:10,无,4293,26,715
N6UbLzoOS,早  ,,无,无,无,2023-06-25 10:06,无,1921,9,458
N6TJVA9bL,粮厂迭代新奇迹代号后稷和神农，刚看到houji时还惊到了，还好反应过来了。反正就是体验为王颜值为王徕卡为王，目测又是爆款~  ,,无,无,无,2023-06-25 08:57,无,6440,31,915
N6EF7hHx2,堵车中，来尬聊一会儿吧，随机回复  ,,无,无,无,2023-06-23 18:34,无,11407,40,2199
N6nvZC7Y4,白天看错了，现阶段国内的旗舰平板都还主推骁龙8+，快发布那个游戏平板也是，但是释放很猛的满血版。明年平板才更多会在骁龙8G2和天玑9200之间抉择，屏幕尺寸的选择性也更多  ,,无,无,无,2023-06-21 22:55,无,3747,25,655
N6l2XAree,小米接下来新机的屏幕边框控制都有看头，且不说1.xmm的迭代旗舰机，红米的边框也会大缩特缩，小米13那种观感的直屏机多的是，甚至红米也会有所超越~  ,,无,无,无,2023-06-21 16:38,无,5379,36,825
N6ktvsNpP,红红：1.5K极窄直屏+天玑9200++120W酷酷：2K普通直屏+骁龙8G2+200W加加：1.5K极窄曲屏+骁龙8G2+150W真真：1.5K极窄直屏+骁龙8G2+150W  ,,无,无,无,2023-06-21 15:11,无,8771,70,1662
N6jSZECaQ,vivo X90S这个青漾配色蛮好看的，新增质感算法的影调风格很毒，高饱和度战士出击！蓝厂对手机影像的理解还是非常透彻的，坐等新机再创新巅峰  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hf4s97dnevj33344mo1kz.jpg,无,无,2023-06-21 13:41,无,3208,16,465
N6j1i6OpH,或许有人在等骁龙8+高性能游戏平板？快来了嗷😈  ,,无,无,无,2023-06-21 11:28,无,2762,15,561
N6iuQlUsG,欧加子系除了拿到下放的潜望镜，还有一颗新大底主摄50Mp IMX9xx 1/1.4x，影像要大大进步了  ,,无,无,无,2023-06-21 10:08,无,2434,19,445
N6i64q26k,Redmi K60 Ultra终于入网了，你们期待的120W百瓦闪充大电池天玑旗舰。核心配置和外观都聊过了，屏幕快充电池主摄多芯平台都还是有看点  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1hf5kgerdfqj313y0hsgs7.jpg,无,无,2023-06-21 09:07,无,4141,38,1044
N6cAo3qL6,早  ,,无,无,无,2023-06-20 19:06,无,1745,13,301
N6bUNw5Rd,欧加系有个新平板开了个2K高刷大屏和8000mAh左右大电池，感觉定位比较入门。绿厂其它这边值得关注的新品就是大折叠屏Find N3，智能表OPPO Watch4，新系统ColorOS14，新系统把这些设备全串起来  ,,无,无,无,2023-06-20 17:23,无,2226,16,431
N6b4T3rVa,骁龙8G2高频版参考三星定制版，主频还是3.36GHz，官方说这次台积电4nm的工艺更好（应该是更成熟），会有一个很奇葩的正式命名，不叫骁龙8+Gen2。性能确实非常顶，但用它的机子不多，因为蛮贵的……  ,,无,无,无,2023-06-20 15:15,无,3591,24,488
N6atZF90e,天玑奇迹这次质感提升蛮明显的，推荐有点像天青色汝窑的新配色，微弧亮面玻璃后盖有点釉面的质感，左上角接近正方形的Deco也不大，直屏又极窄，观感真不错~  ,,无,无,无,2023-06-20 13:44,无,2475,17,410
N69IImbQD,昨天全网首发那个潜望镜没定版嗷，我只是发个现阶段工程机的测试规格，传感器是新定制的，别乱猜。不过更大底更大像素是完全可以确定的，因为OV64B已经是最低标配版本，所以要比强更强  ,,无,无,无,2023-06-20 11:48,无,2278,17,449
N69fQBFXk,貌似有不少人没买到13U的影像套装？别着急，快有了，而且还有惊喜，和我这台很搭的那种  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hf4gxr0savj34mo334npf.jpg,无,无,2023-06-20 10:37,无,2526,27,342
N68Ym9qNO,没想到吧，首发骁龙8 Gen2高频版的新机是NX729S-红魔8S Pro，170W跑分直接屠榜。而且这机子还有主动散热风扇，高性能调教优化提升蛮多的。另外这次还有红魔游戏平板，性能同样是安卓TOP  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hf4fj4azazj32c0340npe.jpg,无,无,2023-06-20 09:54,无,3699,32,565
N68zpvQ3k,早  ,,无,无,无,2023-06-20 08:52,无,1934,13,458
N62vRBrRW,小米一堆新老设备开始适配Android14底层的MIUI新版本了，听闻会有一些Mi字头的自研技术，正常来讲年底见  ,,无,无,无,2023-06-19 17:27,无,7628,40,1104
N61DGskfm,iQOO11S新配色「钱塘听潮」，除此之外还有赛道版和传奇版，12+256GB/16+256GB/16+512GB/16+1TB，蓝厂也全员大内存了。7月拉开子系旗舰大战，差异化优势是200W闪充+2K柔性直屏+金属中框……  ,,无,无,无,2023-06-19 15:14,无,2541,27,649
N60Y9gHCE,前段时间刚看到一个骁龙8G3全主摄旗舰机立项，主摄50Mp IMX989，副摄全是50Mp IMX9xx，结果索尼改名了，明年不能吹全IMX9旗舰CIS了，虽然依旧很强  ,,无,无,无,2023-06-19 13:31,无,2842,28,324
N60gyloNz,618大战尘埃落定，小米13成功打进4000-5999元价位段销量前三，成为该价位唯一款安卓旗舰。K60则包揽2K-3K价位段京东/天猫销量销额双冠军，同时618期间全渠道销量破100万台，成绩真不错啊  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/006BlblIgy1hf3dow4rsxj30rs12rnb5.jpg,http://ww3.sinaimg.cn/large/006BlblIgy1hf3dovc80bj313x0t9gw9.jpg",无,无,2023-06-19 11:44,无,11161,49,1524
N5ZYsmprH,欧加系即将落地5200mAh+150W，完美平衡电池容量、快充速度、协议兼容性。然后继续攻坚6000mAh级百瓦方案，240W甚至300W的大电池方案……  ,,无,无,无,2023-06-19 10:59,无,3822,36,877
N5Zj9FwIo,骁龙8G2折叠屏工程机搞定了不可能的白色曲面玻璃机身，补齐了3.2X人像中焦和5X潜望长焦的四摄，67W+50W，增强通信能力，新水滴铰链加强抗摔性能，轻薄依旧。三家轻薄折叠屏新机的大混战要开始了~  ,,无,无,无,2023-06-19 09:17,无,1958,13,332
N5ZevvZ0c,早  ,,无,无,无,2023-06-19 09:06,无,1644,11,393
N5KXf9Idh,今日份尬聊，你们日常使用中有感觉到5G的体验升级吗  ,,无,无,无,2023-06-17 20:45,无,7462,43,1945
N5Hz1h0p2,蓝厂OV64B都下放了，那肯定也有更强的潜望镜辣  ,,无,无,无,2023-06-17 12:07,无,3654,25,707
N5GSypMpr,红米K70系列已经有一款机型备案了，骁龙8G3大战还是在年底开始，都提前以后就不存在背刺了，春节前的新机选择性很多  ,,无,无,无,2023-06-17 10:22,无,3950,23,592
N5GmBnLli,vivo X90S顶配还是12+512GB，只是换成了天玑9200++LPDDR5X+UFS 4.0，vivo首款1TB机型是X Fold2折叠屏。iQOO11S顶配按惯例给了1TB UFS 4.0，主打游戏向定位，主要补齐200W闪充和IMX866V，V2确定没了。  ,,无,无,无,2023-06-17 09:04,无,3109,29,674
N5zVhlhmN,打擦边球咯，某厂明年下半年规划的旗舰机备料无线充芯片是100W，有更高的转换效率和更低的热损耗。做了自适应充电模式，可能是标称80W，极速模式可以Turbo一下  ,,无,无,无,2023-06-16 16:40,无,3837,26,452
N5ydybQjg,荣耀接下来就是1.5K高频调光曲屏+108Mp大底主摄+5800mAh超大电池的骁龙6G1新机，紧接着推重量刷记录的轻薄折叠屏Magic V2。再晚点还有旗舰平板MagicPad，荣耀Magic6系列排期还是Q1，但会小提前  ,,无,无,无,2023-06-16 12:19,无,2403,14,479
N5xH3ecEn,凯度BrandZ发布2023中国全球化品牌五十强，小米连续入选并排名第二，消费电子品类第一，毕竟小米13全系列新机都出海了  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hezvl60db1j313y16vam9.jpg,无,无,2023-06-16 10:59,无,4029,20,501
N5xlfC3Vq,骁龙8G3 QRD成绩尘埃落定，量产会再提高一丢丢。接下来轮到天玑9300发力了，最新样片测试成绩高于先前数据，4个X4超大核不是盖的，GPU忘了是12还是16，反正天玑调教看蓝厂，年底见真章  ,,无,无,无,2023-06-16 10:06,无,4157,30,613
N5wWI8YCo,骁龙8G2迭代大平板打磨中，目前样机是左上角双摄，圆形Deco+隔断线条设计，屏幕边框略微收窄+支持杜比视界，全金属机身带有信号注塑断点，可能会有5G版本~  ,,无,无,无,2023-06-16 09:05,无,1866,21,401
N5rx4Ek1n,"索尼半导体启用新CIS品牌LYTIA，IMX989→LYT900，IMX888→LYT800，IMX890→LYT700。同时新增两颗新镜头，LYT600 50Mp 1/1.95""，这才是IMX586正统迭代，哪家拿来做5X潜望长焦就香了  原图 ",,https://wx1.sinaimg.cn/large/006BlblIly1hez2hu6jhcj313y0l1tgm.jpg,无,无,2023-06-15 19:18,无,2674,57,505
N5qUIfA9K,早  ,,无,无,无,2023-06-15 17:44,无,2857,27,302
N5qg38r1E,红米K70系列对阵一加真我骁龙8G2/骁龙8G3新机又有好戏看了，这次全员去塑料支架，标配新工艺喷砂塑料中框+玻璃机身，质感都提升了一大截，核心差异化是快充电池、影像长焦、屏幕素质，打起来打起来  ,,无,无,无,2023-06-15 16:04,无,5366,56,1104
N5ppWvoTi,明年迭代的骁龙8G3超大杯旗舰机，反正目前蓝绿基本确定会有玻璃后盖版本，粮厂耀厂不要不识好歹  ,,无,无,无,2023-06-15 13:55,无,2872,27,495
N5oG9Eu23,之前说过小米14系列新机会提前一点发布，主要是骁龙8G3平台整体进度不错，各家都计划提前上市。比如欧加系，一加12、真我GT5 Pro、Find X7 Pro都要提前。  ,,无,无,无,2023-06-15 12:02,无,3897,40,916
N5of1c6y7,早  ,,无,无,无,2023-06-15 10:56,无,1544,7,376
N5nINEkQy,早  ,,无,无,无,2023-06-15 09:36,无,1952,11,467
N5hP6dbOb,今日份闲聊，让我康康你们用手机拍的摄影作品  ,,无,无,无,2023-06-14 18:35,无,6688,52,1983
N5gNkw0JT,300W级别超百瓦闪充的落地进度放缓了，更多厂商选择攻坚超大电池方案，百瓦超百瓦闪充很快会看到5200mAh、5500mAh……90W级别还会做得更大。  ,,无,无,无,2023-06-14 15:58,无,4937,46,906
N5g6brMho,"子系天玑9200+新旗舰核心规格自行检索，现在进度比较快的还有一个新平板，10.x""2K+90Hz LCD屏幕，前置5Mp+后置矩阵镜头8Mp，骁龙680+8000mAh电池，定位入门款。百元千元平板市场还是比较大的~  ",,无,无,无,2023-06-14 14:12,无,1654,18,312
N5fgSbS1Z,有人想要极窄直屏+潜望镜+百瓦闪充，看了一圈感觉最有可能做这个方案的是真我，希望GT迭代可以安排  ,,无,无,无,2023-06-14 12:05,无,2323,22,546
N5eTW1Xyd,中杯小直屏尺寸变化不是很大，大杯极窄微曲屏我愿称之为2.7D，基本上只有BM区是曲面，所以不怎么影响屏幕显示，但又非常好的收窄了视觉边框，某些角度看起来会比中杯还窄。然后为了窄做了小直角中框~  ,,无,无,无,2023-06-14 11:09,无,2423,27,477
N5ewKcezn,X7系列还是开案新基材极窄柔性屏1.5K/2K，依旧全系标配50Mp真大底潜望镜，目前有两款新机，听闻内部计划再新增一个杯型，变成中杯-大杯-超大杯  ,,无,无,无,2023-06-14 10:12,无,2082,26,541
N5e4Q5Uec,2540mAh*2＝5200mAh Typ+150W+SM8550  ,,无,无,无,2023-06-14 09:03,无,2294,12,469
N58NDiJfG,某迭代游戏手机开案6500mAh±双电芯+80W快充  ,,无,无,无,2023-06-13 19:37,无,2773,19,483
N57e67rfv,早  ,,无,无,无,2023-06-13 15:37,无,3112,27,630
N56vVbkXE,"去年新旗舰都是标配IMX8系大底主摄，今年骁龙8G3/天玑9300标配主摄差异化可以，索尼三星豪威都有，50Mp IMX9xx 1/1.4x""，50Mp OV50H 1/1.28""……  ",,无,无,无,2023-06-13 13:48,无,1917,16,344
N55TxBvR5,这个Deco不规则的样机，真机就不给你们看了，塞了两颗IMX989，所以现在实验室塞一个1.33英寸极限大底也没什么稀奇的，探索未来罢了  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hewgsw4htkj31jk140q4n.jpg,无,无,2023-06-13 12:13,无,4632,31,563
N55xYumsm,实验室产品设计真大胆，K1A L1A M1A，NPI阶段放弃的真大底副摄和玻璃机身等等。前段时间还看到小米一个探索向的样机，四曲面无边瀑布屏+屏下前摄+电致变色后置镜头，可以让整个手机呈现无孔设计  ,,无,无,无,2023-06-13 11:20,无,3681,25,428
N556qdTLX,早  ,,无,无,无,2023-06-13 10:12,无,2309,20,588
N54EMlvuM,1.5K高频调光超窄曲屏，骁龙8G2+超大面积VC新散热技术，50Mp IMX890 OIS大底主摄，5000+超大电池，快充方案就是100W和150W二选一  ,,无,无,无,2023-06-13 09:04,无,3077,14,693
N4ZF53W9T,小米13 Ultra在海外开售了，定价1499欧，折合人民币11500左右，价格居然持平iPhone 14  Pro Max，产品力拉满，在海外市场是真对标苹果了。国内618期间价格也很稳定，早冲早享受  原图 ,,https://wx4.sinaimg.cn/large/006BlblIgy1hevpffurdnj33f61u8qmb.jpg,无,无,2023-06-12 20:21,无,8489,52,1355
N4YzO6ab5,供应链传闻华子2023出货量目标调整至4000万，去年出货量是2800万，看来对Mate60系列寄予厚望呀  ,,无,无,无,2023-06-12 17:35,无,6394,50,1271
N4XT29cwX,接下来三款旗舰折叠屏，轻薄又强大，有刷记录  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hevfzc8flxj3230140djm.jpg,无,无,2023-06-12 15:50,无,2872,43,616
N4Xhpv4Jo,有人在问魅族20 INFINITY为什么没有卫星通讯，其实现阶段标准和规则制定都没有正式获批，魅族自研的多模卫星通信芯片还是技术预研向，暂时无法落地。包括之前中兴A50U的5G NTN，暂时也没有市售消费者版本。这玩意儿只有华为的北斗方案独占中。。。  ,,无,无,无,2023-06-12 14:17,无,3399,19,479
N4WIpDNMD,都很卷呀，谷歌Pixel8系列都标配50Mp GN2超级大底，之前小米11 Pro和11 Ultra同款主摄。而且Pro还有64Mp IMX787超广角+48Mp GM5 5X潜望长焦  ,,无,无,无,2023-06-12 12:51,无,2707,20,362
N4VY38kNq,欧加系这边接下来的中高端旗舰线，潜望镜是确定下放，定位稍微低点儿的会给32Mp IMX709 2X。快充继续升级，150W超百瓦方案的电池会突破5000mAh，百瓦级方案会争取做到6000mAh  ,,无,无,无,2023-06-12 10:57,无,3271,36,613
N4Vfy7NRq,早  ,,无,无,无,2023-06-12 09:07,无,1486,10,345
N4GvJCCfn,今日份尬聊，小米和荣耀相继加入竖向折叠屏手机阵营，你们觉得这个品类要怎么做才有竞争力呢  ,,无,无,无,2023-06-10 19:36,无,5633,27,986
N4Foa6BRw,年底旗舰芯换代前的看点：红米K60 Ultra VS 一加Ace2 Pro VS 真我GT Neo5 Pro小米MIX Fold3 VS OPPO Find N3 VS 荣耀Magic V2华为Mate60 Pro VS iPhone 15 Pro Max  ,,无,无,无,2023-06-10 16:45,无,8171,54,1311
N4Di71a9K,骁龙8G3普通版频率最终应该还是3.18/3.2GHz±，这个QRD成绩也是基于这个频率，安兔兔V9大概160W，稳扎稳打吧。按照市场大环境看，高通现在只需要稳住功耗，不翻车就够了  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1herzggq3vqj313y0e3780.jpg,无,无,2023-06-10 11:24,无,4158,32,843
N4CQzzi00,一加真我拿到了潜望中长焦，红米iQOO拿到了3X±直立中长焦，影像进步都不小，大家都有光明的未来  ,,无,无,无,2023-06-10 10:16,无,4318,36,729
N4xGHmWt6,现在感觉大家都不再执着于真全面屏了，屏下前摄热度回落，今年有些前代屏下前摄的旗舰机回归打孔屏，有些内屏无孔的全面屏折叠屏也选择了打孔  ,,无,无,无,2023-06-09 21:08,无,4595,37,979
N4wCCkTJ7,首先目前Find X7系列样机打磨中，迭代旗舰有望了。其次我绿有个像素向影像新技术，听说是可以把大底镜头的拍照效果优化成超级大底，有点意思  ,,无,无,无,2023-06-09 18:25,无,4174,32,616
N4v9cvVvq,耀子竖向折叠屏没那么快，可能会叫Magic Flip，同样是主打极致轻薄设计。OVHMH全员做竖折了，属于5K价位段的厮杀，明年拿到下放的骁龙8G2也很有看头  ,,无,无,无,2023-06-09 14:40,无,1907,17,236
N4uulxkDt,iQOO Neo8 Pro 16GB+1TB版本终于来了，16GB LPDDR5X+ 1TB UFS 4.0，加上天玑9200+性能释放也比较激进，超大内存版本也卡在3K价位段，这款可以称得上目前最强1TB游戏性能旗舰，竞争力非常强啊，打起来打起来  [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/a66d0169ly8herukomnc4j20j60y3qa9.jpg,http://ww4.sinaimg.cn/large/a66d0169ly8herukozfpuj20zw0ni7cg.jpg,http://ww4.sinaimg.cn/large/a66d0169ly8herukpclelj20j60efgpg.jpg,http://ww3.sinaimg.cn/large/a66d0169ly8herukq85vhj24mo3344qr.jpg",无,无,2023-06-09 13:00,微博  weibo.com,2183,27,467
N4ucD0L4M,骁龙8G3系列旗舰主打保11争10，如果库存压力不大的话，可能会提前到10月底发布，最晚11月发。今年各方面进度比较快，提前进入市场肯定能吃到首发红利~  ,,无,无,无,2023-06-09 12:16,无,3361,33,640
N4tHEgw3F,王冰冰去佛山啦，用真我11 Pro+的2亿单镜变焦相机记录岭南古城的非遗魅力，现场还跟师傅学起了咏春拳的基本功。realme这机子超高像素和无损单镜变焦素质确实不错，广东醒狮和佛山木版年画也挺有意思，冰冰也好可爱#王冰冰学咏春#央视新闻的微博视频  ,,无,"https://f.video.weibocdn.com/o0/oja5H4Delx0865TJlmRq01041200ESn10E010.mp4?label=mp4_hd&template=688x480.25.0&Expires=1693386120&ssig=c80Tnq6K6o&KID=unistore,video",无,2023-06-09 11:00,微博视频号,2483,42,300
N4sWmqk6W,早  ,,无,无,无,2023-06-09 09:03,无,3024,38,556
N4otvuvhp,现阶段手机大盘还是比较冷，大家都不敢行差踏错，都在裁员，手机产品线也在反复梳理，某些产品被搁置不要意外。比如听闻某厂折叠屏延期了，某厂次旗舰线的超大杯可能会暂时停更。。。。  ,,无,无,无,2023-06-08 21:41,无,4696,34,827
N4moRBo5X,iQOO11S 2K+144Hz E6高频调光柔性直屏，骁龙8G2鸡血版，IMX866V，200W+4700mAh，金属中框+塑料支架，接下来这波子系旗舰里定位最高的品  ,,无,无,无,2023-06-08 16:24,无,3752,51,886
N4lWjm8Um,小米x迪士尼联名款邀请函，定制越来越上道了。今年红米的哈利波特也不错，下一个IP不知道瞄准什么呢  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1heqthe3aaaj31401hcn52.jpg,http://ww3.sinaimg.cn/large/006BlblIly1heqthekpjdj31401hcqau.jpg,http://ww1.sinaimg.cn/large/006BlblIly1heqthhxdzkj34mo334u10.jpg",无,无,2023-06-08 15:14,无,2021,14,324
N4lmiBJwk,旗舰折叠屏能接受塑料中框吗？可以轻几克，差不多就是影像旗舰的重量，素皮版本最低甚至可以做到22xg  ,,无,无,无,2023-06-08 13:45,无,3312,19,574
N4kJzbdT4,小米Civi3迪士尼联名款，机身有个大大的米老鼠。其它联名产品还有小米降噪耳机3、小米手环8、小米自带线充电宝等等，喜欢这个经典IP吗  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1heqoohmwbij31s02dcb29.jpg,http://ww4.sinaimg.cn/large/006BlblIly1heqoqhlbiij313r1r34qp.jpg",无,无,2023-06-08 12:10,无,3079,25,371
N4kijul2p,天玑9300目前基于3.0GHz X4+2.0GHz A720，CPU性能就写了个相比前代单核提升13%，多核提升33%，GPU核心数是比前代更多的。🐔🐉大战10月见  ,,无,无,无,2023-06-08 11:02,无,3187,34,389
N4jXD3j84,骁龙8G3旗舰系列极窄屏幕供应商还是新基材的CSOT、SDC，FHD+、WQHD+~  ,,无,无,无,2023-06-08 10:11,无,2352,23,384
N4jvvoxQa,早  ,,无,无,无,2023-06-08 09:02,无,2422,15,580
N4cXhn473,"明年2K价位段有点卷，有两家准备下放1.5K曲屏和2K直屏，最新的骁龙7系平台，主摄升级1/1.5""±大底方案  ",,无,无,无,2023-06-07 16:21,无,2888,29,510
N4ciRmjGs,问了一嘴，Magic V2重量确实干翻华为Mate X3  ,,无,无,无,2023-06-07 14:42,无,2960,17,469
N4bNSC4Fs,SM8650 QRD：GB5 1.7K/6.6K± GB6 2.2K/7K±，GFX ES 3.1 280fps±  ,,无,无,无,2023-06-07 13:26,无,2330,20,519
N4bhP9xbI,欧加某骁龙8G3极窄柔性屏迭代旗舰打磨中，超百瓦闪充+定制双电芯2450mAh*2＝5000mAh±Typ  ,,无,无,无,2023-06-07 12:07,无,2515,24,644
N448PrWjG,Apple Vision Pro风评还行，这种MR头显在前两年上游势头特别猛，所以其实国内也有大厂在做，和新旗舰手机立项时间差不多。现在进度也比较可观，会落地🤣  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1heonbkogkoj31ig0um7bu.jpg,无,无,2023-06-06 17:55,无,3364,32,598
N43eDyBAv,天玑9300目前技术规格写的4*X4（1*X4+3*X4m）+4*A720，ARM Gen5 GPU Immortalis G720。CPU频率暂定X4最低3.0GHz，A720最低2.0GHz，最终会根据骁龙8G3落地频率调整，正面硬刚。  ,,无,无,无,2023-06-06 15:37,无,5004,36,580
N42mI9Fin,两个打磨中的轻量化潜望镜新焦段，115mm 5X、90mm 3.9X~  ,,无,无,无,2023-06-06 13:24,无,2210,14,357
N41PN7qGv,iOS17更新完了，感觉过渡动画有细微的优化升级，更丝滑流畅。功能性真就是缝缝补补，隔空投送小升级、小组件支持直接交互、新增待机时钟和壁纸等，感觉这几个点不足以支撑大版本迭代更新教程：下载Apple Developer，国区ID直接登录，然后在软件更新找到Beta版更新选择iOS17即可。  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/006BlblIly1heod6diywnj32dc35sx6q.jpg,http://ww1.sinaimg.cn/large/006BlblIly1heocnedua0j32dc35s4qr.jpg,http://ww4.sinaimg.cn/large/006BlblIly1heocnganq1j32dc35shdu.jpg,http://ww1.sinaimg.cn/large/006BlblIly1heocnic4ooj32dc35sx6q.jpg,http://ww4.sinaimg.cn/large/006BlblIly1heocnkif7sj335s2dcu0y.jpg,http://ww1.sinaimg.cn/large/006BlblIly1heocnmgeaxj335s2dcnpe.jpg",无,无,2023-06-06 12:03,无,2567,40,514
N41rTwwzN,阿蓝本月中下旬到下月初上X90S和iQOO11S，两个小迭代新机。迭代数字系列中杯大杯还是暂定11月，超大杯和迭代旗舰折叠屏暂定明年Q1。  ,,无,无,无,2023-06-06 11:04,无,2469,24,535
N40ZdAbgM,Flip竖向内折叠屏新机立项，极致轻薄~  ,,无,无,无,2023-06-06 09:53,无,2064,14,379
N40CroFDV,苹果发布会结束了，感觉最有意思的是首款头显Apple Vision Pro，M2+R1+4K micro OLED，单眼4K+分辨率，场景虚实结合确实有头号玩家内味儿了。但VR/MR设备通病是软件生态、续航（果子这个也只有俩小时）、FOV眩晕等等，2.5W价格也属于富人的玩具了😂  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/006BlblIly1heo7x723mwj31ig0um7bu.jpg,http://ww1.sinaimg.cn/large/006BlblIly1heo7x7c07rj31ha0u0q6u.jpg,http://ww1.sinaimg.cn/large/006BlblIly1heo7x7nq2bj31hc0u0grm.jpg",无,无,2023-06-06 08:57,无,3809,40,616
N3UcWdNBt,骁龙8G3高频版样片真的干到了3.7GHz  ,,无,无,无,2023-06-05 16:38,无,5640,31,866
N3TAGiTyF,iQOO Pad最近当主力平板用了一段时间，12.1英寸2.8K+144Hz LCD超大屏和天玑9000+旗舰芯都让我印象深刻，这里基于日常体验简单聊聊吧： iQOO Pad体验报告  ,,无,无,无,2023-06-05 15:04,微博 weibo.com,3023,20,370
N3TaNrzo9,"联想竟然有三台12.7英寸大屏平板，12.7""2944×1840p 144Hz LCD，迅鲲900T/骁龙870/？10200mAh大电池。有多少人喜欢这种超大尺寸安卓平板呢[收到]  ",,无,无,无,2023-06-05 14:00,无,1508,15,296
N3SuW8c4w,早  ,,无,无,无,2023-06-05 12:17,无,2892,14,365
N3S3bt21Q,D9300 Aztec1440p-90fps±tips：SM8550-68fps± Apple A16-53fps±  ,,无,无,无,2023-06-05 11:08,无,2884,24,583
