微博id,微博正文,发布时间,点赞数,转发数,评论数
Ng4pEB5BW,#多平台食用盐显示缺货#  啊？抢盐真的没必要，国内产盐大多是井矿盐。  ,2023-08-24 16:40,1620,9,176
Ng4oJ06eX,#日本核污染水排海正式开始# 日本排的不是核废水，是核污水！这特么就是断子绝孙行为。  ,2023-08-24 16:38,2392,16,282
Ng3IGrMOu,真我GT5 官方渲染图，满分10分，你会给几分？设计上来说其实和GT Neo5比较接近，后面依然有一个灯带装饰，但这次摄像头一整块黑色延展到了左右边框区域。屏幕塑料支架应该也去掉了吧？毕竟这是中端机大趋势。  [组图共3张] 原图 ,2023-08-24 14:54,542,1,186
Ng2RWwPYE,#日本核污染水排海正式开始#   原图 ,2023-08-24 12:44,1463,11,276
Ng2LACf89,[我来了]各种颜色版本都陆续上架啦~小米13/13Ultra定制【面条壳】：小米13：大米定制：小米13 面条壳  超薄/肤感/精致/好用 小米13Ultra：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所...全文 [组图共12张] 原图 ,2023-08-24 12:29,47,1,37
Ng2KR9ecp,网传的iPhoen15系列原装C-C数据线，编织网材质，数据线颜色和机身颜色匹配。另外就是最近新闻经常看到说iPhone上C口会进行加密，用常规C口线无法传输数据，满功率充电巴拉巴拉。但按照iPadPro的情况来看，可能性很低啊，毕竟这么多年iPadPro 用普通C-C数据线都正常~  [组图共4张] 原图 ,2023-08-24 12:27,204,1,84
Ng2Geh7sU,一加Ace2Pro 24GB版本已售超过6W台，话说现阶段买新机你会优先考虑24GB版本还是16GB版本？  原图 ,2023-08-24 12:16,854,2,270
Ng1Rx8eXy,#李跳跳# 发文表示无限期停止更新公告，因为收到了某软件厂商的律师函。律师函中这段就很魔幻的：最终造成消费者福祉的减损...看广告叫福祉是吧？为啥就没人好好管管各种APP上乱七八糟一堆广告呢？有些应用的开屏广告或者内置跳屏广告就离谱，迷惑性的XX按钮，一不小心碰到就直接跳转，或者有时候...全文 [组图共4张] 原图 ,2023-08-24 10:11,7184,435,1000
NfWE3rHqM,#东方树叶 三得利# 人到中年确实更喜欢喝无糖的茶饮，最近喝东方树叶多一些，希望两家卷一卷，把价格打下来~  原图 ,2023-08-23 20:54,1308,10,203
NfUZVitPQ,【闲聊】假如让你回到10年前，你会考虑做哪些投资？或者创业项目？  ,2023-08-23 16:42,938,4,246
NfTJ22Waz,#iPhone15Pro被曝的21项变化# 主要提升还是L口换C口，USB2.0换USB3.0，A16换A17，ProMax版本支持潜望长焦，快充功率最高提升到35W，屏幕边框更窄，直角边框打磨更圆润了。  [组图共2张] 原图 ,2023-08-23 13:28,1564,36,287
NfTfFwdZr,官网买的一加Ace2Pro到了，外观满分10分，你会给几分？  [组图共6张] 原图 ,2023-08-23 12:15,1958,25,591
NfS1KENga,京东Plus会员现在变成无限免邮了，原来的10倍返京豆，变成最高3%购物返利。  原图 ,2023-08-23 09:08,918,16,316
NfLIAqVq3,一加Ace2Pro：4年3次安卓大版本升级K60至尊版：5年4次安卓大版本升级  [组图共2张] 原图 ,2023-08-22 17:05,2016,22,479
NfLHs8wNQ,小米的ICP备案域名：miOS.cn ，看来是要为小米汽车做准备？  原图 ,2023-08-22 17:02,803,4,120
NfLCaDzzW,手机现在都开始用上24GB内存了，那么问题来了：大家台式机、笔记本上的内存现在多大？我是32GB DDR5 7000MHz 大家台式机、笔记本上的内存现在多大？  ,2023-08-22 16:49,6943,11,214
NfKPy4kyU,#iPhone15ProMax或改名Ultra# 反正今年还是4款，感觉改不改名意义不大，目前手机壳厂给到的手机壳样品来看，确实更加圆润了，Max版本的割手问题会有所缓解。当然今年Pro和ProMax可能会摄像头会做差异化区分，超大杯上潜望长焦，Pro还是直筒长焦，标准版和Plus没有长焦，都用主摄4800W像素的2X裁切~  原图 ,2023-08-22 14:49,359,1,110
